0	-nan	-nan	-nan
5.35	0.147242	0.0505652	0.0966773
5.36	0.147247	0.0505906	0.0966568
5.37	0.147249	0.0506142	0.0966349
5.38	0.147248	0.0506359	0.0966117
5.39	0.147243	0.0506556	0.0965872
5.4	0.147235	0.0506733	0.0965612
5.41	0.147223	0.050689	0.0965338
5.42	0.147208	0.0507027	0.096505
5.43	0.147189	0.0507143	0.0964746
5.44	0.147167	0.0507238	0.0964428
5.45	0.147141	0.0507312	0.0964094
5.46	0.147111	0.0507365	0.0963744
5.47	0.147077	0.0507395	0.0963377
5.48	0.14704	0.0507404	0.0962995
5.49	0.146999	0.0507391	0.0962595
5.5	0.146953	0.0507355	0.0962179
5.51	0.146904	0.0507296	0.0961745
5.52	0.146851	0.0507214	0.0961293
5.53	0.146793	0.0507109	0.0960823
5.54	0.146731	0.0506981	0.0960334
5.55	0.146666	0.0506828	0.0959827
5.56	0.146595	0.0506652	0.09593
5.57	0.146521	0.0506452	0.0958754
5.58	0.146442	0.0506227	0.0958188
5.59	0.146358	0.0505978	0.0957602
5.6	0.14627	0.0505704	0.0956996
5.61	0.146177	0.0505405	0.0956368
5.62	0.14608	0.0505081	0.0955719
5.63	0.145978	0.0504731	0.0955049
5.64	0.145871	0.0504356	0.0954357
5.65	0.14576	0.0503956	0.0953642
5.66	0.145643	0.0503529	0.0952905
5.67	0.145522	0.0503076	0.0952145
5.68	0.145396	0.0502598	0.0951361
5.69	0.145265	0.0502093	0.0950554
5.7	0.145128	0.0501561	0.0949723
5.71	0.144987	0.0501003	0.0948867
5.72	0.144841	0.0500418	0.0947987
5.73	0.144689	0.0499807	0.0947081
5.74	0.144532	0.0499168	0.0946151
5.75	0.14437	0.0498503	0.0945194
5.76	0.144202	0.049781	0.0944211
5.77	0.144029	0.0497091	0.0943202
5.78	0.143851	0.0496344	0.0942166
5.79	0.143667	0.0495569	0.0941103
5.8	0.143478	0.0494768	0.0940012
5.81	0.143283	0.0493939	0.0938894
5.82	0.143083	0.0493082	0.0937747
5.83	0.142877	0.0492198	0.0936572
5.84	0.142665	0.0491286	0.0935369
5.85	0.142448	0.0490347	0.0934136
5.86	0.142225	0.048938	0.0932874
5.87	0.141997	0.0488385	0.0931582
5.88	0.141762	0.0487363	0.0930261
5.89	0.141522	0.0486313	0.0928909
5.9	0.141276	0.0485236	0.0927526
5.91	0.141024	0.0484131	0.0926113
5.92	0.140767	0.0482999	0.0924669
5.93	0.140503	0.0481839	0.0923193
5.94	0.140234	0.0480652	0.0921685
5.95	0.139958	0.0479437	0.0920146
5.96	0.139677	0.0478195	0.0918574
5.97	0.13939	0.0476926	0.091697
5.98	0.139096	0.047563	0.0915334
5.99	0.138797	0.0474306	0.0913664
6	0.138492	0.0472956	0.0911962
6.01	0.13818	0.0471579	0.0910226
6.02	0.137863	0.0470175	0.0908456
6.03	0.13754	0.0468744	0.0906653
6.04	0.13721	0.0467287	0.0904816
6.05	0.136875	0.0465804	0.0902945
6.06	0.136533	0.0464294	0.0901039
6.07	0.136186	0.0462758	0.0899099
6.08	0.135832	0.0461196	0.0897125
6.09	0.135472	0.0459609	0.0895115
6.1	0.135107	0.0457996	0.0893071
